#fabrica(linha) x deposito (coluna);;;;;;;;;;;;;;;;;
#tipo transporte1;;;;;;;;;;;;;;;;;
0;242;1885;1429;1949;2674;2566;2439;2386;2332;2244;2153;2224;2237;2138;2688;3481;3432
242;0;1719;1263;1771;2706;2598;2472;2419;2365;2276;2186;2257;2269;2170;2669;3514;3465
1885;1719;0;520;291;2106;2603;2872;3003;2132;2211;2436;2473;2485;2387;3576;4127;4078
1429;1263;520;0;806;2127;2582;2851;3216;2111;2190;2414;2452;2464;2366;3601;4311;4262
1949;1771;291;806;0;1821;2311;2577;2711;1837;1918;2143;2181;2192;2092;3284;3835;3786
1936;1771;1085;1156;800;1117;1666;1875;2007;1136;1214;1439;1477;1489;1390;2580;3131;3082
2674;2706;2106;2127;1821;0;549;826;1031;449;439;668;503;551;546;1882;2152;2103
2564;2596;2654;2633;2371;701;169;129;334;548;559;434;367;334;442;1187;1455;1408
2380;2413;2996;3210;2704;948;413;126;118;835;746;569;568;541;640;980;1250;1201
2386;2419;3003;3216;2711;1031;496;211;0;848;765;582;661;635;659;980;1174;1125
2332;2365;2132;2111;1837;449;548;714;848;0;130;359;247;294;237;1572;2002;1953
2244;2276;2211;2190;1918;439;541;626;765;130;0;238;153;231;116;1450;1880;1831
2153;2186;2436;2414;2143;668;508;448;582;359;238;0;236;221;155;1227;1702;1653
2340;2373;2110;2090;1828;428;568;723;856;24;103;357;255;318;212;1547;1977;1928
2237;2269;2485;2464;2192;551;382;423;635;294;231;221;48;0;113;1479;1755;1707
2688;2669;3576;3601;3284;1882;1347;1062;980;1572;1450;1227;1507;1479;1341;0;903;934
3481;3514;4127;4311;3835;2152;1617;1332;1174;2002;1880;1702;1784;1755;1771;903;0;60
3432;3465;4078;4262;3786;2103;1568;1283;1125;1953;1831;1653;1735;1707;1722;934;60;0
#tipo transporte2;;;;;;;;;;;;;;;;;
0;225;1866;1929;3026;3812;3468;3512;3736;3349;3269;2987;3291;3255;3135;1.00E+25;5166;5086
225;0;1641;1704;2801;3587;3243;3287;3511;3124;3044;2762;3066;3030;2910;1.00E+25;4941;4861
1866;1641;0;63;1160;4576;4501;4636;4860;4153;4033;4047;4055;4019;3899;1.00E+25;6290;6210
1929;1704;63;0;1097;4513;4438;4573;4797;4090;3970;3984;3992;3956;3836;1.00E+25;6227;6147
3026;2801;1160;1097;0;3405;3330;3465;3689;2982;2862;2876;2884;2848;2728;1.00E+25;5119;5039
3741;3516;4505;4442;3334;2307;2232;2367;2591;1884;1764;1778;1786;1750;1630;1.00E+25;4021;3941
3795;3570;4559;4496;3388;0;1152;1287;1511;464;544;825;687;723;677;1.00E+25;2941;2861
3376;3151;4500;4437;3329;1151;164;136;360;688;608;491;464;481;601;1.00E+25;1790;1710
3618;3393;4742;4679;3571;1393;406;106;118;930;850;733;706;723;843;1.00E+25;1760;1680
3736;3511;4860;4797;3689;1511;524;224;0;1048;968;851;824;841;961;1.00E+25;1559;1479
3349;3124;4153;4090;2982;464;780;824;1048;0;80;362;224;334;214;1.00E+25;2478;2398
3269;3044;4033;3970;2862;544;700;744;968;80;0;282;144;254;134;1.00E+25;2398;2318
2987;2762;4047;3984;2876;825;583;627;851;362;282;0;304;268;148;1.00E+25;2281;2201
3362;3137;4126;4063;2955;450;702;837;1061;14;94;375;237;273;227;1.00E+25;2491;2411
3255;3030;4019;3956;2848;723;482;617;841;334;254;268;36;0;120;1.00E+25;2271;2191
1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;1.00E+25;0;1.00E+25;1.00E+25
5166;4941;6290;6227;5119;2941;1954;1654;1559;2478;2398;2281;2254;2271;2391;1.00E+25;0;80
5086;4861;6210;6147;5039;2861;1874;1574;1479;2398;2318;2201;2174;2191;2311;1.00E+25;80;0
