"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]"
"[ 4.          3.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.93297087
  0.          0.15090025  0.38827277  0.12954089 11.         12.
 35.         14.         27.          2.         34.         23.
 19.         28.         22.         29.          7.          0.
  0.          0.          0.         16.         30.          1.
  0.          0.          3.          5.         32.          8.
 15.         13.         20.          4.         26.          0.
  0.         10.          0.          0.          0.        ]";"[ 4.          3.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.93297087
  0.          0.15090025  0.38827277  0.12954089  5.          3.
  1.         36.         29.          2.         13.         14.
  6.         37.         17.         11.          8.          0.
  0.          0.          0.          0.         10.          7.
  0.          0.         19.         15.         33.         24.
  4.         22.         20.         21.         16.          0.
  0.         25.         12.          0.          0.        ]";"[ 4.          3.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.93297087
  0.          0.15090025  0.38827277  0.12954089 36.         17.
 25.         16.          4.         19.         21.          8.
  1.         31.         26.         32.         14.          0.
  0.          0.          0.          0.          0.         13.
  0.          0.         18.         15.          7.         20.
 10.          5.          6.          0.          3.          0.
  0.         28.         35.          0.          0.        ]";"[ 4.          3.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.93297087
  0.          0.15090025  0.38827277  0.12954089 24.         33.
 15.          6.         27.          5.         14.         12.
 30.         36.         16.          2.         37.          8.
 28.         21.          0.          0.          0.         25.
  0.          0.          4.          3.         23.         29.
 20.         10.         32.          1.         19.          0.
  0.         18.         11.          0.          0.        ]";"[ 4.          3.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.93297087
  0.          0.15090025  0.38827277  0.12954089 34.         22.
 26.         35.         25.         27.          3.         13.
  9.         33.         31.          0.          0.          8.
  0.          0.          0.         19.         32.          2.
  0.          0.         20.         12.          7.          6.
 23.         37.          4.         28.         14.          0.
  0.         29.          0.          0.          0.        ]";"[ 4.          3.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.93297087
  0.          0.15090025  0.38827277  0.12954089  2.         25.
 27.          6.         20.          7.         35.         15.
 17.         19.         12.         29.          0.          3.
  0.          0.         28.         26.         10.         32.
  0.          0.          1.          5.         21.         37.
 13.         30.         11.          9.         33.         18.
  0.          0.         23.          0.          0.        ]"
"[ 1.          4.          3.          0.          1.          1.
  1.          1.          0.15090025  0.          0.15236343  0.35420938
  0.35420938  0.54980556  0.7865728   0.59412889 29.          7.
  0.          0.          3.          5.         32.          8.
 28.         15.         34.         13.         20.          4.
  0.          2.          0.          0.          0.          0.
 16.         30.          0.          0.         21.          0.
 11.         31.         17.         24.         10.         25.
  1.         26.          0.          0.          0.        ]";"[ 1.          4.          3.          0.          1.          1.
  1.          1.          0.15090025  0.          0.15236343  0.35420938
  0.35420938  0.54980556  0.7865728   0.59412889 11.          8.
  0.          0.         19.         15.         33.          3.
 24.          4.         22.         20.         21.         13.
  0.         26.          0.          0.          0.          0.
  0.         10.         25.          0.          9.          0.
  6.          2.         32.         34.          1.         12.
  5.          7.         16.          0.          0.        ]";"[ 1.          4.          3.          0.          1.          1.
  1.          1.          0.15090025  0.          0.15236343  0.35420938
  0.35420938  0.54980556  0.7865728   0.59412889 32.         14.
  0.          0.         18.         15.          1.          7.
 20.         10.          5.          6.          4.         26.
  0.         35.          0.          0.          0.          0.
  0.          0.          0.          0.         12.          0.
 19.         28.         29.         24.         27.         34.
 36.         13.          3.          0.          0.        ]";"[ 1.          4.          3.          0.          1.          1.
  1.          1.          0.15090025  0.          0.15236343  0.35420938
  0.35420938  0.54980556  0.7865728   0.59412889  2.         37.
  0.          0.          4.          3.         23.         29.
 20.         10.         32.          1.          8.         28.
 21.          5.          0.          0.          0.          0.
 11.          0.          0.          0.          0.          0.
 13.         18.         36.         12.         25.          9.
 24.         19.          0.          0.          0.        ]";"[ 1.          4.          3.          0.          1.          1.
  1.          1.          0.15090025  0.          0.15236343  0.35420938
  0.35420938  0.54980556  0.7865728   0.59412889 25.         31.
  0.          0.         20.         33.         12.         13.
  9.          7.         26.          6.         23.         22.
 37.         32.         14.          4.          3.         28.
  8.          0.          0.          0.         19.          0.
  0.         29.          2.         10.          1.         15.
 34.          0.          0.          0.          0.        ]";"[ 1.          4.          3.          0.          1.          1.
  1.          1.          0.15090025  0.          0.15236343  0.35420938
  0.35420938  0.54980556  0.7865728   0.59412889  6.         29.
  0.          0.          1.          5.         20.         21.
 35.         19.         37.         15.         13.         30.
 11.         36.         23.          9.          3.          0.
  0.         28.         26.         10.          0.          0.
  0.          4.         33.         14.         27.         25.
  2.         32.         18.          0.          0.        ]"
"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.27858262  0.45469356  0.82766049  0.27915862
  0.08312865  0.06709069  0.99703537  0.87559491  3.          0.
  0.          0.          5.         29.         28.         15.
 34.         13.         20.          0.          0.          0.
  0.          4.          0.          0.         11.          1.
  7.         24.         10.         25.         33.          0.
  8.         21.         16.         35.         37.          2.
  0.          0.          0.          0.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.27858262  0.45469356  0.82766049  0.27915862
  0.08312865  0.06709069  0.99703537  0.87559491 19.          0.
  0.          0.         15.         11.         24.          4.
 22.         20.         21.         37.          0.          0.
  0.         13.          0.          0.          5.          7.
  8.          1.         12.         31.         16.          0.
  3.          9.         26.         29.          0.          0.
  0.          0.          0.          0.         36.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.27858262  0.45469356  0.82766049  0.27915862
  0.08312865  0.06709069  0.99703537  0.87559491 18.          0.
  0.          0.         15.         32.         20.         10.
  5.          6.          4.         19.          0.          0.
  0.         26.          0.          0.         36.         13.
 14.         27.         34.         25.         33.          0.
  7.         12.          1.         29.          3.         16.
  0.          0.          0.          0.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.27858262  0.45469356  0.82766049  0.27915862
  0.08312865  0.06709069  0.99703537  0.87559491  4.          0.
  0.          0.          3.          2.         20.         10.
 32.          1.          8.         36.          0.          0.
  0.         28.         21.          0.         24.         25.
 37.         12.          9.         13.         16.          0.
 26.         29.          7.         14.         17.         33.
  5.          0.          0.          0.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.27858262  0.45469356  0.82766049  0.27915862
  0.08312865  0.06709069  0.99703537  0.87559491 20.          0.
  0.          0.         33.         25.          9.          7.
 26.          6.         23.          0.          0.          0.
 29.         22.         37.          4.         34.          2.
 31.         15.         35.         30.          5.          0.
 13.         32.         18.         19.          3.         14.
  0.          0.          0.          0.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.27858262  0.45469356  0.82766049  0.27915862
  0.08312865  0.06709069  0.99703537  0.87559491  1.          0.
  0.          0.          5.          6.         35.         19.
 37.         15.         13.          0.          0.          0.
  0.         30.         11.          9.          2.         32.
 29.         27.         25.          4.         31.          0.
 22.         21.         36.         33.         10.         18.
 26.         23.          0.          0.          0.        ]"
"[ 1.          4.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.15090025
  0.38827277  0.75347489  0.93297087  0.         29.          7.
  0.          0.          0.          0.          0.          0.
 37.         17.         12.         35.         14.          2.
 34.         23.         19.         28.          5.          9.
 27.         11.          0.         13.          3.         24.
  6.         22.         18.         36.          1.          0.
  0.          0.          0.          0.         25.        ]";"[ 1.          4.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.15090025
  0.38827277  0.75347489  0.93297087  0.         11.          8.
  0.          0.          0.          0.          0.          0.
 31.         18.          3.          1.         36.         29.
  2.         13.         14.          6.         15.         23.
  0.          5.          0.          0.         10.         19.
 34.         20.         22.         28.          0.          0.
  0.          0.         12.          0.          0.        ]";"[ 1.          4.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.15090025
  0.38827277  0.75347489  0.93297087  0.         32.         14.
  0.          0.          0.          0.          0.          0.
 34.         15.         17.         25.         16.          4.
 21.          8.          1.         31.          9.         23.
 19.         36.          0.         18.          6.         27.
 22.         26.         37.          7.         13.         30.
 20.          0.          0.          0.          0.        ]";"[ 1.          4.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.15090025
  0.38827277  0.75347489  0.93297087  0.          2.         37.
  0.          0.          0.          0.          0.          0.
 26.          9.         33.         15.          6.         27.
  5.         14.         12.         30.          3.         18.
 19.         24.          0.          4.         28.          7.
 22.         31.          1.         17.         25.         32.
  0.          0.          0.          0.          0.        ]";"[ 1.          4.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.15090025
  0.38827277  0.75347489  0.93297087  0.         25.         31.
  0.          0.          0.          0.          0.          0.
 19.         16.         22.         26.         35.         27.
  3.         13.          9.         33.         29.         12.
  0.         34.          0.          0.          5.         20.
  4.         24.         17.         21.         37.          0.
  0.          0.          0.         30.          0.        ]";"[ 1.          4.          3.          3.          1.          1.
  1.          1.          0.86338871  0.89120596  0.94716172  0.15090025
  0.38827277  0.75347489  0.93297087  0.          6.         29.
  0.          0.          0.          0.          0.          0.
 16.         31.         25.         27.         20.          7.
 35.         15.         17.         19.          5.         34.
  0.          2.          0.          0.         21.          1.
 13.         23.         32.          3.         33.         24.
  0.          0.          0.          4.          0.        ]"
"[4.00000000e+00 4.00000000e+00 3.00000000e+00 3.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 6.51822508e-01 8.91205962e-01 1.50900249e-01 9.97035366e-01
 2.32523713e-02 2.26111640e-01 2.79158623e-01 8.31286492e-02
 1.10000000e+01 1.00000000e+00 3.60000000e+01 1.70000000e+01
 2.60000000e+01 8.00000000e+00 0.00000000e+00 2.90000000e+01
 7.00000000e+00 0.00000000e+00 0.00000000e+00 1.30000000e+01
 2.50000000e+01 3.30000000e+01 2.80000000e+01 1.50000000e+01
 2.40000000e+01 2.10000000e+01 1.40000000e+01 4.00000000e+00
 9.00000000e+00 1.80000000e+01 2.20000000e+01 3.20000000e+01
 1.90000000e+01 1.60000000e+01 2.30000000e+01 2.70000000e+01
 1.00000000e+01 3.40000000e+01 6.00000000e+00 3.70000000e+01
 3.50000000e+01 5.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]";"[4.00000000e+00 4.00000000e+00 3.00000000e+00 3.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 6.51822508e-01 8.91205962e-01 1.50900249e-01 9.97035366e-01
 2.32523713e-02 2.26111640e-01 2.79158623e-01 8.31286492e-02
 5.00000000e+00 8.00000000e+00 2.80000000e+01 2.00000000e+01
 7.00000000e+00 1.60000000e+01 0.00000000e+00 1.10000000e+01
 0.00000000e+00 0.00000000e+00 1.00000000e+01 3.10000000e+01
 1.20000000e+01 3.00000000e+00 2.40000000e+01 2.10000000e+01
 3.00000000e+01 1.40000000e+01 3.40000000e+01 3.60000000e+01
 2.90000000e+01 1.80000000e+01 2.50000000e+01 1.50000000e+01
 1.00000000e+00 2.20000000e+01 2.60000000e+01 6.00000000e+00
 9.00000000e+00 3.20000000e+01 4.00000000e+00 1.30000000e+01
 3.70000000e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.30000000e+01]";"[4.00000000e+00 4.00000000e+00 3.00000000e+00 3.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 6.51822508e-01 8.91205962e-01 1.50900249e-01 9.97035366e-01
 2.32523713e-02 2.26111640e-01 2.79158623e-01 8.31286492e-02
 3.60000000e+01 1.30000000e+01 3.00000000e+01 2.00000000e+01
 3.00000000e+00 1.00000000e+01 0.00000000e+00 3.20000000e+01
 1.40000000e+01 0.00000000e+00 0.00000000e+00 4.00000000e+00
 2.50000000e+01 3.30000000e+01 7.00000000e+00 3.50000000e+01
 1.50000000e+01 1.70000000e+01 2.30000000e+01 2.10000000e+01
 1.10000000e+01 2.40000000e+01 2.20000000e+01 1.00000000e+00
 1.80000000e+01 3.40000000e+01 2.90000000e+01 5.00000000e+00
 8.00000000e+00 2.80000000e+01 9.00000000e+00 2.60000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.70000000e+01
 2.70000000e+01]";"[4.00000000e+00 4.00000000e+00 3.00000000e+00 3.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 6.51822508e-01 8.91205962e-01 1.50900249e-01 9.97035366e-01
 2.32523713e-02 2.26111640e-01 2.79158623e-01 8.31286492e-02
 2.40000000e+01 2.50000000e+01 3.20000000e+01 2.60000000e+01
 1.90000000e+01 1.00000000e+00 0.00000000e+00 2.00000000e+00
 3.70000000e+01 0.00000000e+00 0.00000000e+00 9.00000000e+00
 1.30000000e+01 1.60000000e+01 2.90000000e+01 3.50000000e+01
 3.10000000e+01 3.30000000e+01 1.80000000e+01 1.40000000e+01
 2.80000000e+01 6.00000000e+00 3.40000000e+01 2.00000000e+01
 1.10000000e+01 3.00000000e+01 1.50000000e+01 3.00000000e+00
 4.00000000e+00 1.00000000e+01 2.10000000e+01 8.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.00000000e+00]";"[4.00000000e+00 4.00000000e+00 3.00000000e+00 3.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 6.51822508e-01 8.91205962e-01 1.50900249e-01 9.97035366e-01
 2.32523713e-02 2.26111640e-01 2.79158623e-01 8.31286492e-02
 3.40000000e+01 1.20000000e+01 5.00000000e+00 3.70000000e+01
 2.00000000e+00 1.40000000e+01 0.00000000e+00 2.50000000e+01
 3.10000000e+01 0.00000000e+00 0.00000000e+00 3.50000000e+01
 3.00000000e+01 1.30000000e+01 9.00000000e+00 2.40000000e+01
 2.60000000e+01 3.60000000e+01 2.90000000e+01 2.70000000e+01
 3.00000000e+00 7.00000000e+00 3.20000000e+01 1.60000000e+01
 3.30000000e+01 8.00000000e+00 1.80000000e+01 1.00000000e+00
 1.90000000e+01 1.10000000e+01 1.70000000e+01 2.80000000e+01
 6.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+01]";"[4.00000000e+00 4.00000000e+00 3.00000000e+00 3.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 6.51822508e-01 8.91205962e-01 1.50900249e-01 9.97035366e-01
 2.32523713e-02 2.26111640e-01 2.79158623e-01 8.31286492e-02
 2.00000000e+00 3.20000000e+01 2.40000000e+01 2.50000000e+01
 3.30000000e+01 1.80000000e+01 0.00000000e+00 6.00000000e+00
 2.90000000e+01 0.00000000e+00 0.00000000e+00 2.10000000e+01
 4.00000000e+00 3.10000000e+01 2.20000000e+01 1.00000000e+01
 1.10000000e+01 5.00000000e+00 3.00000000e+01 1.90000000e+01
 3.40000000e+01 1.60000000e+01 2.80000000e+01 7.00000000e+00
 1.50000000e+01 1.00000000e+00 2.00000000e+01 1.70000000e+01
 2.60000000e+01 3.50000000e+01 9.00000000e+00 3.70000000e+01
 3.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.20000000e+01]"
"[ 3.          4.          3.          3.          1.          1.
  1.          1.          0.60032039  0.67355725  0.75347489  0.9665713
  0.94716172  0.86338871  0.67355725  0.25581707 11.          1.
 36.         13.          0.          3.         25.         14.
  0.          0.         33.          8.          0.          0.
 18.          4.         34.          0.          0.         22.
  9.          2.         17.         28.         29.          7.
 16.         24.         10.          0.          0.          0.
  0.          0.         30.         15.         12.        ]";"[ 3.          4.          3.          3.          1.          1.
  1.          1.          0.60032039  0.67355725  0.75347489  0.9665713
  0.94716172  0.86338871  0.67355725  0.25581707  5.          8.
 28.         10.          0.          0.         31.         13.
  0.          0.          0.          0.         12.         16.
  0.         19.         20.          9.         18.          0.
  0.          7.         36.         35.          2.          3.
 11.          1.         25.         22.          0.          0.
  0.          0.          0.          0.         27.        ]";"[ 3.          4.          3.          3.          1.          1.
  1.          1.          0.60032039  0.67355725  0.75347489  0.9665713
  0.94716172  0.86338871  0.67355725  0.25581707 36.         13.
 30.          4.          0.          0.         25.         19.
  0.          0.          0.          0.         33.          7.
  0.          0.          0.         18.          6.         11.
 17.          0.          0.         10.         22.         20.
 32.         14.          2.         27.         34.         29.
  0.          0.          0.          0.         31.        ]";"[ 3.          4.          3.          3.          1.          1.
  1.          1.          0.60032039  0.67355725  0.75347489  0.9665713
  0.94716172  0.86338871  0.67355725  0.25581707 24.         25.
 32.          1.          0.          0.          9.          6.
  0.          0.          0.          0.         13.         16.
  0.          0.          4.         33.         36.         35.
  0.          0.         17.          7.         20.         26.
  2.         37.          3.         12.          5.          0.
  0.          0.          0.          0.         21.        ]";"[ 3.          4.          3.          3.          1.          1.
  1.          1.          0.60032039  0.67355725  0.75347489  0.9665713
  0.94716172  0.86338871  0.67355725  0.25581707 34.         12.
  5.         35.          0.          0.         30.         27.
  0.          0.          0.          0.         13.          9.
  0.          0.          0.         20.         19.         18.
  1.          0.          0.         21.         16.         24.
 25.         31.         10.         15.          2.         14.
  0.          0.          0.          0.         22.        ]";"[ 3.          4.          3.          3.          1.          1.
  1.          1.          0.60032039  0.67355725  0.75347489  0.9665713
  0.94716172  0.86338871  0.67355725  0.25581707  2.         32.
 24.         21.          0.         13.         29.         15.
  0.          0.          4.         31.          0.          0.
  1.         19.         26.          7.          0.          0.
  3.         33.         10.         22.          6.         27.
  8.         25.         23.          0.          0.          0.
  0.          0.         12.         17.         20.        ]"
"[ 4.          4.          4.          3.          1.          1.
  1.          1.          0.15090025  0.45469356  0.86338871  0.89120596
  0.65793175  0.67355725  0.94716172  0.93297087 13.          3.
  5.          9.          0.         12.          6.         22.
 14.         23.         29.          7.         32.         11.
  0.          0.          0.          0.          0.         36.
  2.         25.         21.         27.          0.         31.
 34.         17.         33.         30.         15.         10.
  0.          0.          0.         35.          1.        ]";"[ 4.          4.          4.          3.          1.          1.
  1.          1.          0.15090025  0.45469356  0.86338871  0.89120596
  0.65793175  0.67355725  0.94716172  0.93297087 10.         19.
 15.         23.          0.          3.         34.         36.
 20.         22.         11.          8.         33.          6.
  0.          0.          0.          0.          0.          5.
  2.         32.         31.          0.          0.         25.
 27.         16.         17.          7.         24.          1.
 12.          0.          0.          4.         37.        ]";"[ 4.          4.          4.          3.          1.          1.
  1.          1.          0.15090025  0.45469356  0.86338871  0.89120596
  0.65793175  0.67355725  0.94716172  0.93297087  4.         18.
 15.          9.         20.         25.          8.         23.
 31.          6.         32.         14.          1.         19.
  0.          0.          0.          0.          0.         27.
  7.         29.         10.          0.         26.         21.
 34.         12.         37.         30.         36.          0.
  0.          0.          0.          0.         13.        ]";"[ 4.          4.          4.          3.          1.          1.
  1.          1.          0.15090025  0.45469356  0.86338871  0.89120596
  0.65793175  0.67355725  0.94716172  0.93297087  1.          4.
  3.          5.          0.         33.         18.         24.
 22.         19.          2.         37.         23.         13.
  0.          0.          0.          0.          0.         17.
  7.         12.          9.         20.          0.         34.
 30.          8.         32.         36.         25.          0.
  0.          0.          0.          0.         11.        ]";"[ 4.          4.          4.          3.          1.          1.
  1.          1.          0.15090025  0.45469356  0.86338871  0.89120596
  0.65793175  0.67355725  0.94716172  0.93297087  5.         20.
 33.         16.          0.         35.         26.         29.
 12.         22.         25.         31.          0.          0.
  0.          0.          0.         21.         10.          3.
  0.          0.          0.          0.          0.         15.
  4.         34.         14.          8.         13.          1.
 36.         28.          9.          2.         30.        ]";"[ 4.          4.          4.          3.          1.          1.
  1.          1.          0.15090025  0.45469356  0.86338871  0.89120596
  0.65793175  0.67355725  0.94716172  0.93297087 21.          1.
  5.         34.         25.         27.         16.         13.
 23.         32.          6.         29.         20.          4.
  0.          0.          0.          0.          0.          3.
 33.         31.         11.         22.          0.         10.
 14.          8.         36.          7.          2.          0.
 26.          0.          0.          0.         18.        ]"
"[ 4.          4.          3.          3.          1.          1.
  1.          1.          0.65182251  0.94716172  0.45469356  0.54980556
  0.19813455  0.19550285  0.94716172  0.93297087 11.          1.
 36.         17.         26.          8.          0.          0.
 32.         16.          4.         20.         30.         10.
  0.          0.          0.         35.         33.         15.
 31.          7.         25.         12.         13.          0.
  0.         29.          0.          0.          0.         24.
  0.          0.          0.          0.          3.        ]";"[ 4.          4.          3.          3.          1.          1.
  1.          1.          0.65182251  0.94716172  0.45469356  0.54980556
  0.19813455  0.19550285  0.94716172  0.93297087  5.          8.
 28.         20.          7.         16.          0.          0.
 33.          4.         24.         10.         25.          1.
 12.          0.          0.         23.         15.         19.
  2.          0.          0.         22.          0.          0.
 11.          6.          0.          0.          0.         13.
  0.          0.          0.         34.         36.        ]";"[ 4.          4.          3.          3.          1.          1.
  1.          1.          0.65182251  0.94716172  0.45469356  0.54980556
  0.19813455  0.19550285  0.94716172  0.93297087 36.         13.
 30.         20.          3.         10.          0.          0.
 28.         15.         35.         26.          0.          0.
  0.          0.          0.          5.         32.         37.
 27.         34.          4.         12.          0.          0.
 14.          1.          0.          0.          7.         29.
 19.          0.          0.          0.         18.        ]";"[ 4.          4.          3.          3.          1.          1.
  1.          1.          0.65182251  0.94716172  0.45469356  0.54980556
  0.19813455  0.19550285  0.94716172  0.93297087 24.         25.
 32.         26.         19.          1.          0.          0.
 23.         18.         11.         20.         12.          0.
  0.          0.          0.          9.         34.          4.
  8.         16.          0.         35.         10.          0.
  0.          2.          0.          0.         33.         15.
 37.         13.          0.          0.          3.        ]";"[ 4.          4.          3.          3.          1.          1.
  1.          1.          0.65182251  0.94716172  0.45469356  0.54980556
  0.19813455  0.19550285  0.94716172  0.93297087 34.         12.
  5.         37.          2.         14.          0.          0.
 28.          8.         13.         22.         29.          0.
  0.          0.          0.          1.         10.          9.
 36.         20.         31.         30.         35.          0.
  0.         25.          0.          0.          0.         19.
  0.          0.          0.          0.         33.        ]";"[ 4.          4.          3.          3.          1.          1.
  1.          1.          0.65182251  0.94716172  0.45469356  0.54980556
  0.19813455  0.19550285  0.94716172  0.93297087  2.         32.
 24.         25.         33.         18.          0.          0.
 13.         30.         28.         26.         10.         23.
  0.          0.          0.         12.          6.         21.
 15.         27.         22.          0.          0.         29.
  4.          0.          0.          0.         20.         17.
  0.          0.          0.          1.          5.        ]"
"[ 3.          3.          3.          4.          1.          1.
  1.          1.          0.9665713   0.94716172  0.75347489  0.86338871
  0.60032039  0.67355725  0.75347489  0.67355725 11.          1.
 13.         25.         12.         35.         14.         27.
  2.         34.         23.         19.         28.         22.
  4.          0.          0.          0.         29.          7.
  0.          0.          3.          5.         32.          8.
  0.          0.          0.          0.          0.          0.
  0.         26.          0.          0.         15.        ]";"[ 3.          3.          3.          4.          1.          1.
  1.          1.          0.9665713   0.94716172  0.75347489  0.86338871
  0.60032039  0.67355725  0.75347489  0.67355725  5.          8.
 10.         31.          3.          1.         36.         29.
  2.         13.         14.          6.         37.         17.
 21.          0.          0.          0.          0.         11.
  0.          0.         19.         15.         33.         24.
  0.          0.          0.          0.          0.          0.
  0.          7.         16.          0.          4.        ]";"[ 3.          3.          3.          4.          1.          1.
  1.          1.          0.9665713   0.94716172  0.75347489  0.86338871
  0.60032039  0.67355725  0.75347489  0.67355725 36.         13.
  4.         25.         17.         16.         19.         21.
  8.          1.         31.         26.          0.          0.
  0.          0.         32.         14.          0.          0.
 18.         15.          7.         20.         10.          5.
  0.          0.          0.          0.          0.          3.
  0.          0.          0.          0.          6.        ]";"[ 3.          3.          3.          4.          1.          1.
  1.          1.          0.9665713   0.94716172  0.75347489  0.86338871
  0.60032039  0.67355725  0.75347489  0.67355725 24.         25.
  1.          9.         33.         15.          6.         27.
  5.         14.         12.         30.         36.         16.
  8.         28.          0.          2.         37.          0.
  0.          4.          3.         23.         29.         20.
 21.          0.          0.          0.          0.         19.
  0.          0.          0.          0.         10.        ]";"[ 3.          3.          3.          4.          1.          1.
  1.          1.          0.9665713   0.94716172  0.75347489  0.86338871
  0.60032039  0.67355725  0.75347489  0.67355725 34.         12.
 35.         30.         22.         26.         25.         27.
  3.         13.          9.         33.         31.         28.
  8.          0.          0.          0.          0.          0.
  0.          0.         20.          7.          6.         23.
  0.          0.          0.          0.          2.         14.
  0.          0.          0.          1.         37.        ]";"[ 3.          3.          3.          4.          1.          1.
  1.          1.          0.9665713   0.94716172  0.75347489  0.86338871
  0.60032039  0.67355725  0.75347489  0.67355725  2.         32.
 21.         29.         25.         27.          6.         20.
  7.         35.         15.         17.         19.         12.
  9.          3.          0.          0.          0.          0.
  0.          1.          5.         37.         13.         30.
  0.          0.          0.          0.          0.         33.
 18.          0.          0.          0.         11.        ]"
