"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]"
"[ 3.          2.          4.          3.          1.          1.
  1.          1.          0.99027052  0.61030817  0.95676682  0.76765104
  0.54980556  0.7865728   0.50937044  0.19374106 11.          1.
 29.         33.         31.          7.         28.         23.
 34.          0.          0.         26.          0.          0.
 36.          0.          0.         10.         20.         27.
  2.         24.          8.         17.         16.         30.
 13.          3.          6.         14.          4.         19.
  0.          0.         37.          0.          0.        ]";"[ 3.          2.          4.          3.          1.          1.
  1.          1.          0.99027052  0.61030817  0.95676682  0.76765104
  0.54980556  0.7865728   0.50937044  0.19374106  5.         29.
 25.         21.         12.         30.          8.          1.
  0.          0.         13.         18.          0.          0.
 27.          0.          0.         26.         37.         35.
 33.          7.         14.         24.          2.         23.
 10.         31.         19.         11.         15.         20.
  0.          0.         34.         28.          0.        ]";"[ 3.          2.          4.          3.          1.          1.
  1.          1.          0.99027052  0.61030817  0.95676682  0.76765104
  0.54980556  0.7865728   0.50937044  0.19374106 36.         37.
 14.         22.         16.         35.         27.         29.
  0.          0.          1.          4.         13.          0.
  0.         31.          2.         28.          6.         21.
 24.          9.         25.         34.          7.         26.
 20.         15.         10.         32.          3.         18.
  0.          0.         11.          8.          0.        ]";"[ 3.          2.          4.          3.          1.          1.
  1.          1.          0.99027052  0.61030817  0.95676682  0.76765104
  0.54980556  0.7865728   0.50937044  0.19374106 24.         30.
 21.         23.          5.         33.         17.         28.
  0.         13.         15.          9.          0.          0.
  0.          7.          0.          6.         32.          2.
 25.         22.          1.         12.         19.         31.
 16.         11.         20.         37.         14.          4.
  0.          0.         26.         18.          0.        ]";"[ 3.          2.          4.          3.          1.          1.
  1.          1.          0.99027052  0.61030817  0.95676682  0.76765104
  0.54980556  0.7865728   0.50937044  0.19374106 34.         30.
 27.          6.         19.         10.         11.         26.
 25.          0.          0.          1.          5.          0.
  0.          2.         32.         31.         37.         18.
  4.         35.         14.         36.          8.         12.
 22.         13.         20.         15.         16.         23.
  0.          0.          0.          0.          0.        ]";"[ 3.          2.          4.          3.          1.          1.
  1.          1.          0.99027052  0.61030817  0.95676682  0.76765104
  0.54980556  0.7865728   0.50937044  0.19374106  2.          3.
 36.         27.         26.         14.         15.         29.
 25.          0.          0.          0.          8.          0.
  0.          0.          0.          9.         18.         21.
 35.         33.         37.         32.          1.         34.
 13.         30.         19.         31.          6.         28.
  0.          0.         11.         12.         24.        ]"
"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.17512449  0.1143335   0.45469356  0.
  0.1143335   0.19813455  0.45469356  0.67355725 29.          4.
  0.          0.         19.         16.         33.         37.
 34.          1.         14.          0.          0.          0.
  3.          0.         28.         27.         10.         20.
  2.         24.          8.         17.         30.         13.
 15.         35.         36.          7.          5.         23.
  0.          0.          0.          0.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.17512449  0.1143335   0.45469356  0.
  0.1143335   0.19813455  0.45469356  0.67355725 24.         10.
  0.          0.         30.         18.         34.         28.
 21.         33.         29.          0.          0.          0.
 27.          0.         25.         16.         26.         37.
 35.          7.         14.          2.         23.         19.
 11.         15.          5.         31.          3.          8.
  0.          0.         22.          6.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.17512449  0.1143335   0.45469356  0.
  0.1143335   0.19813455  0.45469356  0.67355725 20.         15.
  0.          0.          7.          4.         29.         31.
 16.         11.          8.         37.          0.          0.
 36.         21.         14.         22.         28.          6.
 24.          9.         25.         34.         26.         10.
 32.          3.         12.          2.         23.         27.
  0.          0.          5.         33.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.17512449  0.1143335   0.45469356  0.
  0.1143335   0.19813455  0.45469356  0.67355725 11.         20.
  0.          0.          9.          2.         26.         22.
 14.         25.         18.          0.          0.          0.
  8.          0.         17.         30.         21.         23.
  6.         32.          1.         12.         19.         31.
 37.         24.         16.         13.         36.          7.
  0.          0.          3.          0.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.17512449  0.1143335   0.45469356  0.
  0.1143335   0.19813455  0.45469356  0.67355725 13.         22.
  0.          0.          5.         15.          4.          8.
 18.         34.         23.          0.          0.          0.
  3.          0.         20.         11.         30.         27.
  6.         31.         37.         35.         14.         36.
 12.         16.         17.         25.         19.          2.
  0.          0.         32.          0.          0.        ]";"[ 1.          0.          0.          3.          1.          1.
  1.          1.          0.17512449  0.1143335   0.45469356  0.
  0.1143335   0.19813455  0.45469356  0.67355725 30.         28.
  0.          0.         19.          8.          3.         11.
 12.         24.          7.         33.          0.          0.
 29.         31.          9.         36.         27.         18.
 21.         35.         37.         32.          1.         34.
  6.         13.         25.         22.         23.         14.
  0.          0.          5.          0.          0.        ]"
"[ 1.          4.          3.          4.          1.          1.
  1.          1.          0.86574229  0.93297087  0.56523845  0.76765104
  0.18990203  0.75076905  0.81261246  0.34889845 19.         16.
 29.          4.          0.          0.          0.          0.
  1.         33.         22.         10.         20.          0.
  0.          0.          0.          0.          0.          0.
  3.         24.         25.          8.         14.         11.
 28.          5.         36.          0.          0.          0.
 27.          2.         17.          0.          0.        ]";"[ 1.          4.          3.          4.          1.          1.
  1.          1.          0.86574229  0.93297087  0.56523845  0.76765104
  0.18990203  0.75076905  0.81261246  0.34889845 30.         18.
 24.         10.          0.          0.          0.          0.
 29.         25.         21.         28.         26.         37.
  0.         36.          0.          0.          0.          0.
 19.         31.         20.         12.         16.         23.
  5.          8.          3.         27.         15.          0.
 35.         33.          7.          0.          0.        ]";"[ 1.          4.          3.          4.          1.          1.
  1.          1.          0.86574229  0.93297087  0.56523845  0.76765104
  0.18990203  0.75076905  0.81261246  0.34889845  7.          4.
 20.         15.          0.          0.          0.          0.
 37.         14.         22.         31.         28.          6.
  0.          0.          0.          0.          0.          9.
 18.         25.         33.         10.         36.         13.
  0.          0.         23.         21.         24.          0.
  0.          0.          0.         34.         26.        ]";"[ 1.          4.          3.          4.          1.          1.
  1.          1.          0.86574229  0.93297087  0.56523845  0.76765104
  0.18990203  0.75076905  0.81261246  0.34889845  9.          2.
 11.         20.          0.          0.          0.          0.
 30.         21.         23.          6.         32.          0.
  0.         34.          0.          0.          0.          0.
  4.          5.         33.         13.         16.         37.
 24.         25.         26.          7.          0.          0.
 18.         22.          0.          0.          0.        ]";"[ 1.          4.          3.          4.          1.          1.
  1.          1.          0.86574229  0.93297087  0.56523845  0.76765104
  0.18990203  0.75076905  0.81261246  0.34889845  5.         13.
 22.          0.          0.          0.          0.          0.
 30.         27.          6.          1.         31.         37.
 24.         28.          0.          0.          0.          0.
 20.         19.         10.         35.         15.         34.
 12.         18.          2.         29.          4.         14.
 36.          0.          0.          0.          8.        ]";"[ 1.          4.          3.          4.          1.          1.
  1.          1.          0.86574229  0.93297087  0.56523845  0.76765104
  0.18990203  0.75076905  0.81261246  0.34889845 19.          8.
 30.         28.          0.          0.          0.          0.
  3.         36.         27.         17.          9.         18.
 14.         20.          0.          0.          0.          0.
  1.         26.         29.          4.         31.          2.
 32.         22.         24.         12.         21.         35.
 33.         37.          0.          0.          0.        ]"
"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.1143335   0.1143335   0.65793175  0.94716172
  0.93297087  0.65793175  0.06645516  0.93297087 29.          4.
  3.         33.         24.         25.          8.          5.
 36.         22.          0.         19.          0.         11.
  1.          0.          0.          0.         27.          2.
 17.          0.          0.         28.         14.         26.
  9.         15.          0.          0.         31.          6.
  7.         10.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.1143335   0.1143335   0.65793175  0.94716172
  0.93297087  0.65793175  0.06645516  0.93297087 24.         10.
 19.         31.         20.         12.         16.         25.
 21.         27.         15.         18.          0.          8.
  0.          0.         37.          0.         30.         36.
 35.         33.          7.          3.          9.         17.
 29.         28.         23.         11.         26.          5.
 34.          6.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.1143335   0.1143335   0.65793175  0.94716172
  0.93297087  0.65793175  0.06645516  0.93297087 20.         15.
 18.          6.         14.         25.         33.         22.
 31.          4.          0.         36.          0.          0.
  0.          0.          0.         23.         21.         24.
  0.          0.          0.          7.         30.         17.
 34.          0.          0.         16.         35.         28.
 37.         13.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.1143335   0.1143335   0.65793175  0.94716172
  0.93297087  0.65793175  0.06645516  0.93297087 11.         20.
  4.          5.         33.          9.         13.         30.
 21.         23.         32.         25.          0.          0.
  0.          0.          7.          0.          0.         34.
 18.          2.         22.         16.          0.          0.
 17.         28.         14.          0.         35.         26.
 36.         24.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.1143335   0.1143335   0.65793175  0.94716172
  0.93297087  0.65793175  0.06645516  0.93297087 13.         22.
 20.         19.         10.         35.         30.         27.
 31.          2.         37.          0.          6.         33.
 12.          0.         24.         28.         29.          4.
 14.         36.          0.          5.         18.         34.
 15.          0.          0.         11.         32.         26.
 25.         23.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.1143335   0.1143335   0.65793175  0.94716172
  0.93297087  0.65793175  0.06645516  0.93297087 30.         28.
  1.         19.         26.         29.          4.          3.
 36.         27.          9.         32.          0.          0.
  0.          0.         18.         14.         20.         12.
 21.         35.         33.         31.          7.          0.
  0.          6.         34.         16.         11.         15.
  8.          2.          0.          0.          0.        ]"
"[ 1.          4.          0.          4.          1.          1.
  1.          1.          0.76765104  0.34889845  0.95676682  0.75076905
  0.17512449  0.35420938  0.35550172  0.55449008 36.         22.
  3.         14.         29.         33.         24.          6.
  0.          0.         13.          8.         11.          1.
  0.          0.          0.          0.         31.         23.
  0.          0.          4.          0.          0.         19.
 16.         37.         34.          0.          0.          0.
  0.         28.         27.         10.         20.        ]";"[ 1.          4.          0.          4.          1.          1.
  1.          1.          0.76765104  0.34889845  0.95676682  0.75076905
  0.17512449  0.35420938  0.35550172  0.55449008 26.         37.
 19.         23.         31.         20.         12.         30.
  0.          4.         33.         16.          5.          8.
 11.          0.          0.          0.          0.          0.
  0.         24.         10.          0.          0.         18.
 28.         21.         29.          0.          0.          0.
 27.          0.         25.         35.          7.        ]";"[ 1.          4.          0.          4.          1.          1.
  1.          1.          0.76765104  0.34889845  0.95676682  0.75076905
  0.17512449  0.35420938  0.35550172  0.55449008  4.          2.
 18.         10.          6.         14.         16.         35.
  0.          0.          7.         13.         36.         32.
  0.          0.          0.          0.          0.          0.
  0.         20.         15.          0.          0.         29.
 31.         11.          8.         37.          0.          0.
 21.         22.         28.         24.          9.        ]";"[ 1.          4.          0.          4.          1.          1.
  1.          1.          0.76765104  0.34889845  0.95676682  0.75076905
  0.17512449  0.35420938  0.35550172  0.55449008  7.         32.
  4.         37.          5.         33.         17.         28.
  0.          0.          1.         13.         24.         25.
  2.          0.          0.          0.          0.          0.
  0.         11.         20.          0.          0.          9.
 22.         14.         18.          0.          0.          0.
  8.          0.         30.         21.         23.        ]";"[ 1.          4.          0.          4.          1.          1.
  1.          1.          0.76765104  0.34889845  0.95676682  0.75076905
  0.17512449  0.35420938  0.35550172  0.55449008  2.         18.
 20.         15.         19.         10.         11.         26.
  0.          4.         22.         30.         34.         12.
 25.          0.          0.          0.          0.          0.
  0.          0.         13.          0.          0.          5.
  8.         23.          0.          0.          0.          3.
  0.         27.          6.         31.         37.        ]";"[ 1.          4.          0.          4.          1.          1.
  1.          1.          0.76765104  0.34889845  0.95676682  0.75076905
  0.17512449  0.35420938  0.35550172  0.55449008  1.          5.
 19.         31.         26.          6.         14.         15.
  0.          7.         11.          4.          2.         32.
  0.          0.          0.          0.          0.          0.
  0.          0.         30.         28.          0.          0.
  3.         12.         24.         33.          0.          0.
 29.          9.         36.         27.         18.        ]"
"[ 3.          3.          4.          3.          1.          1.
  1.          1.          0.95676682  0.61030817  0.76765104  0.99027052
  0.54980556  0.7865728   0.25581707  0.55449008 11.          1.
 26.         15.         30.         20.          0.          0.
  0.          0.          0.          0.          0.          0.
 25.         33.          8.         28.         29.         14.
  3.         24.          6.         31.         23.         19.
  5.         21.         36.          4.         12.         35.
 27.          2.          0.          0.         34.        ]";"[ 3.          3.          4.          3.          1.          1.
  1.          1.          0.95676682  0.61030817  0.76765104  0.99027052
  0.54980556  0.7865728   0.25581707  0.55449008  5.          8.
  7.         13.         26.         24.         10.          0.
  0.          0.          0.          0.          0.          0.
 31.         12.         16.          3.         29.         25.
 23.         19.         20.         30.         21.         27.
 14.         17.          6.         28.          9.         22.
  1.         36.          0.          0.          2.        ]";"[ 3.          3.          4.          3.          1.          1.
  1.          1.          0.95676682  0.61030817  0.76765104  0.99027052
  0.54980556  0.7865728   0.25581707  0.55449008 36.         13.
  3.          1.         15.         32.          2.         26.
  0.          0.          0.          0.          0.          0.
 25.         33.          7.         20.         37.         14.
 10.         18.          6.         16.         35.         28.
  9.         19.         29.         22.         30.         17.
  4.         21.          0.          0.          8.        ]";"[ 3.          3.          4.          3.          1.          1.
  1.          1.          0.95676682  0.61030817  0.76765104  0.99027052
  0.54980556  0.7865728   0.25581707  0.55449008 24.         25.
 19.         15.          6.         27.         14.         12.
 11.         20.          0.          0.          0.          0.
  9.         13.         16.         26.         30.         21.
 37.          4.          5.         33.         17.         28.
 18.         23.          7.         22.          1.          3.
 32.         35.          0.          0.         10.        ]";"[ 3.          3.          4.          3.          1.          1.
  1.          1.          0.95676682  0.61030817  0.76765104  0.99027052
  0.54980556  0.7865728   0.25581707  0.55449008 34.         12.
  2.          1.         29.          4.          0.          0.
  0.          0.          0.          0.          0.          0.
 35.         30.          5.         13.         19.         18.
 15.         20.         10.         11.         26.         14.
  6.         22.         31.          8.         36.         25.
 27.          3.          0.          0.          9.        ]";"[ 3.          3.          4.          3.          1.          1.
  1.          1.          0.95676682  0.61030817  0.76765104  0.99027052
  0.54980556  0.7865728   0.25581707  0.55449008  2.         32.
 33.         35.          9.         30.         28.          0.
  0.          0.          0.          0.          0.          0.
 29.          4.         31.         22.         24.          3.
  1.         19.         26.          6.         14.         15.
 17.         10.          8.         36.         21.         25.
 27.         20.          0.          0.          7.        ]"
"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.74877473  0.55449008  0.06645516
  0.34236057  0.65182251  0.8481843   0.61287187 29.          4.
 36.         31.         33.          3.         24.          6.
  7.         10.         28.         23.         12.         35.
  5.          0.         14.         26.          9.         25.
 15.          2.         34.         27.          0.          0.
  0.          0.          0.         17.         20.         11.
  1.          0.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.74877473  0.55449008  0.06645516
  0.34236057  0.65182251  0.8481843   0.61287187 24.         10.
 26.          5.         34.          6.         19.         31.
 20.         12.         30.         21.         13.          9.
 27.         17.         29.         28.         36.         23.
 16.         11.          8.          1.         22.          3.
  0.          0.          0.          0.          0.         37.
 15.          0.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.74877473  0.55449008  0.06645516
  0.34236057  0.65182251  0.8481843   0.61287187 20.         15.
  4.          6.         25.         31.         18.         14.
 16.         35.         28.         27.         10.         21.
 24.          0.         36.         13.         30.         17.
  7.         34.         29.         32.          5.          8.
 33.          0.          0.          0.          0.          0.
  1.          0.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.74877473  0.55449008  0.06645516
  0.34236057  0.65182251  0.8481843   0.61287187 11.         20.
  7.         33.         18.         35.          4.          5.
 17.         28.          2.         37.         34.         30.
 16.         26.          8.         13.         21.         24.
 32.         12.         19.         25.          3.          9.
  0.          0.          0.          0.          0.         14.
  1.         29.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.74877473  0.55449008  0.06645516
  0.34236057  0.65182251  0.8481843   0.61287187 13.         22.
  2.         19.         32.         20.         10.         11.
 26.         14.         25.         31.         28.         33.
  3.          0.         18.         34.         12.         35.
 30.         15.         36.          6.          0.          0.
  0.          0.          0.         21.          9.         24.
  4.          0.          0.          0.          0.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.74877473  0.55449008  0.06645516
  0.34236057  0.65182251  0.8481843   0.61287187 30.         28.
  1.         35.         20.         11.         19.         26.
  6.         14.         15.         29.          2.         32.
 22.          8.         21.          4.          3.          7.
 31.         27.         25.         33.         23.         37.
  5.          0.          0.          0.          0.          0.
 18.          0.          0.          0.          0.        ]"
"[ 1.          0.          3.          0.          1.          1.
  1.          1.          0.1143335   0.61287187  0.          0.96475778
  0.85273294  0.94716172  0.93297087  0.65793175 29.          4.
 36.         31.         33.          3.         28.         23.
 12.         35.          5.          0.         14.         26.
  9.         25.         15.          2.          8.          0.
  0.         24.          6.          7.         10.         19.
 16.         37.         34.          0.         27.         11.
  1.          0.          0.          0.          0.        ]";"[ 1.          0.          3.          0.          1.          1.
  1.          1.          0.1143335   0.61287187  0.          0.96475778
  0.85273294  0.94716172  0.93297087  0.65793175 24.         10.
 26.          5.         34.          6.         30.         21.
 13.          9.         27.         17.         29.         28.
 36.         23.         16.         11.          0.          0.
 18.         19.         31.         20.         12.         33.
  0.         25.         37.         35.          8.          0.
  0.          0.          0.          0.          0.        ]";"[ 1.          0.          3.          0.          1.          1.
  1.          1.          0.1143335   0.61287187  0.          0.96475778
  0.85273294  0.94716172  0.93297087  0.65793175 20.         15.
  4.          6.         25.         31.         28.         27.
 10.         21.         24.          0.         36.         13.
 30.         17.          7.         34.         33.          0.
  0.         18.         14.         16.         35.         29.
 11.          8.         37.          0.          0.          0.
  0.          0.          0.          0.         32.        ]";"[ 1.          0.          3.          0.          1.          1.
  1.          1.          0.1143335   0.61287187  0.          0.96475778
  0.85273294  0.94716172  0.93297087  0.65793175 11.         20.
  7.         33.         18.         35.          2.         37.
 34.         30.         16.         26.          8.         13.
 21.         24.         32.         12.          9.          0.
  0.          4.          5.         17.         28.         22.
 14.          0.         36.         25.          0.          0.
  0.          0.          0.          0.          0.        ]";"[ 1.          0.          3.          0.          1.          1.
  1.          1.          0.1143335   0.61287187  0.          0.96475778
  0.85273294  0.94716172  0.93297087  0.65793175 13.         22.
  2.         19.         32.         20.         25.         31.
 28.         33.          3.          0.         18.         34.
 12.         35.         30.         15.          0.          0.
  5.         10.         11.         26.         14.          4.
  8.         23.          0.          6.          0.          0.
  0.          0.          0.          0.          0.        ]";"[ 1.          0.          3.          0.          1.          1.
  1.          1.          0.1143335   0.61287187  0.          0.96475778
  0.85273294  0.94716172  0.93297087  0.65793175 30.         28.
  1.         35.         20.         11.         15.         29.
  2.         32.         22.          8.         21.          4.
  3.          7.         31.         27.          0.          0.
 12.         19.         26.          6.         14.         33.
  9.         34.         16.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.7072165   0.80451263  0.
  0.85273294  0.59543651  0.96475778  0.34889845 29.          7.
  0.         19.         16.         11.          1.          0.
  0.          3.         33.         24.          6.         31.
 23.         17.          0.          0.          0.          0.
  4.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         10.          2.         36.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.7072165   0.80451263  0.
  0.85273294  0.59543651  0.96475778  0.34889845 11.          8.
  0.         30.         18.          5.          0.          0.
 19.         31.         20.         12.         21.         26.
 37.         24.          0.          0.          0.          0.
 10.          0.          6.          0.          1.          0.
  0.          0.          0.          0.          0.          0.
  0.         22.         15.         25.         27.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.7072165   0.80451263  0.
  0.85273294  0.59543651  0.96475778  0.34889845 32.         14.
  0.          7.          4.         36.         13.          0.
  0.         18.          6.         16.         35.         28.
 23.         15.         27.          0.          0.          0.
  0.         20.         11.          0.         34.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.         25.         33.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.7072165   0.80451263  0.
  0.85273294  0.59543651  0.96475778  0.34889845  2.         37.
  0.          9.         24.         25.          0.          0.
  0.          4.          5.         33.         17.         28.
 18.         19.         31.         14.          1.          0.
  0.          0.          0.         34.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         12.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.7072165   0.80451263  0.
  0.85273294  0.59543651  0.96475778  0.34889845 25.         31.
  0.          5.         13.         34.         12.          0.
  0.         20.         19.         10.         11.         26.
 14.         36.         37.          2.         21.          0.
  0.          0.          0.         33.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.         15.         35.        ]";"[ 1.          3.          0.          0.          1.          1.
  1.          1.          0.06109413  0.7072165   0.80451263  0.
  0.85273294  0.59543651  0.96475778  0.34889845  6.         29.
  0.         19.          8.          2.         32.          0.
  0.          1.         26.         14.         15.         33.
 23.         10.          0.          0.          0.         30.
 28.          0.          7.          0.         27.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          4.        ]"
