"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"[ 1.          2.          2.          2.          2.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.80935939  0.35179824
  0.20168468  0.0559371   0.87727587  0.7117259   0.26733625  0.62661392
  0.75180491  0.7820741   0.31974786  0.8291117   0.33943907  0.77571928
  0.77835909  0.18466296 15.         21.         16.          4.
 23.         20.         12.         10.         25.         17.
  7.         19.          5.          3.          9.          6.
  2.          8.         14.         11.         24.         18.
 22.         13.          1.        ]";"[ 1.          2.          2.          2.          2.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.80935939  0.35179824
  0.20168468  0.0559371   0.87727587  0.7117259   0.26733625  0.62661392
  0.75180491  0.7820741   0.31974786  0.8291117   0.33943907  0.77571928
  0.77835909  0.18466296 19.         16.          5.          3.
 23.         22.          6.         24.         20.          2.
 15.          4.         17.         12.         25.         21.
 13.          9.         14.          8.         11.          1.
 10.         18.          7.        ]"
"[ 1.          0.          0.          1.          2.          0.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.77571928
  0.292325    0.99969864  0.14547147  0.21158498  0.2952391   0.59774808
  0.75945456  0.66112057  0.6697951   0.06020428  0.33943907  0.77571928
  0.77835909  0.18466296 15.          0.         21.         23.
 20.         12.          8.          6.         10.         25.
 14.         17.         16.          5.         11.          9.
  0.          0.          0.          0.          0.          4.
 24.          7.          2.        ]";"[ 1.          0.          0.          1.          2.          0.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.77571928
  0.292325    0.99969864  0.14547147  0.21158498  0.2952391   0.59774808
  0.75945456  0.66112057  0.6697951   0.06020428  0.33943907  0.77571928
  0.77835909  0.18466296 19.          0.         16.         23.
 22.          2.          9.         24.          6.          3.
 17.         21.         20.          5.          8.          1.
  4.          0.          0.          0.          0.         12.
 11.         13.         10.        ]"
"[ 1.          2.          2.          2.          0.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.64995484  0.7078288
  0.80935939  0.18466296  0.87727587  0.7117259   0.26733625  0.62661392
  0.17267985  0.5073149   0.69438442  0.06020428  0.26733625  0.85111883
  0.77835909  0.18466296 15.         21.         16.          0.
 20.          8.          4.         24.         14.          7.
 17.          9.         25.         23.         11.         12.
 10.         19.          5.          3.         18.          6.
  2.         22.         13.        ]";"[ 1.          2.          2.          2.          0.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.64995484  0.7078288
  0.80935939  0.18466296  0.87727587  0.7117259   0.26733625  0.62661392
  0.17267985  0.5073149   0.69438442  0.06020428  0.26733625  0.85111883
  0.77835909  0.18466296 19.         16.          5.          0.
 22.         21.          3.         12.         11.         13.
 10.          2.         23.          6.         24.         20.
 15.          4.         17.         25.          9.         14.
  8.          1.         18.        ]"
"[ 1.          0.          0.          0.          0.          0.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.80935939  0.35179824
  0.20168468  0.0559371   0.87727587  0.7117259   0.26733625  0.62661392
  0.75180491  0.7820741   0.31974786  0.8291117   0.33943907  0.77571928
  0.77835909  0.18466296 25.         23.         15.         21.
  8.         17.         14.         16.          7.          9.
 20.          5.         11.          4.          6.          2.
 24.         18.          0.          0.          0.          0.
 10.         19.          3.        ]";"[ 1.          0.          0.          0.          0.          0.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.80935939  0.35179824
  0.20168468  0.0559371   0.87727587  0.7117259   0.26733625  0.62661392
  0.75180491  0.7820741   0.31974786  0.8291117   0.33943907  0.77571928
  0.77835909  0.18466296 13.         23.         19.         16.
 21.         20.          1.          5.         22.         11.
  8.          2.          3.          6.         12.         25.
  4.          0.          0.          0.          0.          0.
 24.         15.         17.        ]"
"[ 1.          0.          0.          0.          0.          0.
  0.          2.          1.          1.          0.          1.
  1.          1.          1.          1.          0.502152    0.9154685
  0.59788643  0.48508639  0.59811623  0.62661392  0.17267985  0.5073149
  0.59453504  0.04297379  0.75180491  0.80935939  0.59774808  0.40673104
  0.35179824  0.8277202  15.         21.         25.         23.
 11.         10.         14.          9.          8.          1.
  6.          0.          0.          0.          0.          2.
 24.         18.          0.          0.          0.          0.
  3.         19.         17.        ]";"[ 1.          0.          0.          0.          0.          0.
  0.          2.          1.          1.          0.          1.
  1.          1.          1.          1.          0.502152    0.9154685
  0.59788643  0.48508639  0.59811623  0.62661392  0.17267985  0.5073149
  0.59453504  0.04297379  0.75180491  0.80935939  0.59774808  0.40673104
  0.35179824  0.8277202  19.         16.         13.         23.
  2.          3.         24.         17.         10.         21.
  8.          0.          0.          0.          0.          0.
 14.          1.          0.          0.          0.          0.
  0.         11.         25.        ]"
"[1.00000000e+00 2.00000000e+00 0.00000000e+00 0.00000000e+00
 2.00000000e+00 2.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 3.25906144e-01 1.93130179e-01 4.25023263e-01 3.89932886e-02
 7.78359090e-01 7.51804914e-01 2.74847549e-03 1.72679847e-01
 5.07314898e-01 7.51804914e-01 8.27720200e-01 6.26613916e-01
 2.95239100e-01 7.59454556e-01 2.27919374e-01 1.60401485e-01
 1.90000000e+01 1.20000000e+01 8.00000000e+00 1.60000000e+01
 1.40000000e+01 7.00000000e+00 2.10000000e+01 2.30000000e+01
 6.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.50000000e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.10000000e+01]";"[1.00000000e+00 2.00000000e+00 0.00000000e+00 0.00000000e+00
 2.00000000e+00 2.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 3.25906144e-01 1.93130179e-01 4.25023263e-01 3.89932886e-02
 7.78359090e-01 7.51804914e-01 2.74847549e-03 1.72679847e-01
 5.07314898e-01 7.51804914e-01 8.27720200e-01 6.26613916e-01
 2.95239100e-01 7.59454556e-01 2.27919374e-01 1.60401485e-01
 1.50000000e+01 2.00000000e+00 2.10000000e+01 5.00000000e+00
 2.20000000e+01 1.10000000e+01 2.30000000e+01 9.00000000e+00
 2.40000000e+01 1.80000000e+01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.90000000e+01]"
"[ 1.          2.          1.          0.          0.          2.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.39424258
  0.34591826  0.59774808  0.35065215  0.83542529  0.6697951   0.
  0.          0.          0.          0.          0.          0.
  0.          0.         20.         15.         25.          8.
 16.         14.          7.         21.         23.         12.
  6.          1.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          5.        ]";"[ 1.          2.          1.          0.          0.          2.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.39424258
  0.34591826  0.59774808  0.35065215  0.83542529  0.6697951   0.
  0.          0.          0.          0.          0.          0.
  0.          0.         22.         19.          3.         21.
  5.         11.         23.          9.         24.          2.
 18.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          6.        ]"
"[ 1.          0.          2.          0.          0.          2.
  0.          0.          1.          1.          1.          0.
  0.          1.          0.          0.          0.32590614  0.80935939
  0.35179824  0.62661392  0.7820741   0.77571928  0.77835909  0.18466296
  0.20168468  0.0559371   0.7078288   0.2952391   0.75945456  0.2428141
  0.          0.22791937 15.         19.          3.          5.
 21.         23.         20.         12.         10.         16.
  4.         24.         18.         14.          7.         17.
  9.          6.          0.          0.          0.          8.
 25.         11.          1.        ]";"[ 1.          0.          2.          0.          0.          2.
  0.          0.          1.          1.          1.          0.
  0.          1.          0.          0.          0.32590614  0.80935939
  0.35179824  0.62661392  0.7820741   0.77571928  0.77835909  0.18466296
  0.20168468  0.0559371   0.7078288   0.2952391   0.75945456  0.2428141
  0.          0.22791937 19.         15.          1.          3.
 16.         23.         22.          6.         21.          5.
 12.         25.         11.         13.          8.          4.
  0.          0.          0.          2.         24.         17.
 10.          9.         14.        ]"
"[1.00000000e+00 2.00000000e+00 2.00000000e+00 0.00000000e+00
 2.00000000e+00 0.00000000e+00 2.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 8.09359390e-01 3.51798238e-01 1.00932586e-02 3.45918260e-01
 3.39439074e-01 5.36967176e-01 8.35425295e-01 1.72679847e-01
 5.07314898e-01 3.50291317e-01 7.78359090e-01 1.84662965e-01
 2.01684678e-01 8.77275870e-01 3.39439074e-01 3.94242585e-01
 1.50000000e+01 2.10000000e+01 1.60000000e+01 4.00000000e+00
 2.30000000e+01 2.00000000e+01 8.00000000e+00 1.40000000e+01
 7.00000000e+00 6.00000000e+00 1.70000000e+01 9.00000000e+00
 5.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.20000000e+01 3.00000000e+00 1.20000000e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+01
 2.50000000e+01]";"[1.00000000e+00 2.00000000e+00 2.00000000e+00 0.00000000e+00
 2.00000000e+00 0.00000000e+00 2.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 8.09359390e-01 3.51798238e-01 1.00932586e-02 3.45918260e-01
 3.39439074e-01 5.36967176e-01 8.35425295e-01 1.72679847e-01
 5.07314898e-01 3.50291317e-01 7.78359090e-01 1.84662965e-01
 2.01684678e-01 8.77275870e-01 3.39439074e-01 3.94242585e-01
 1.90000000e+01 1.60000000e+01 5.00000000e+00 3.00000000e+00
 2.30000000e+01 2.20000000e+01 2.10000000e+01 1.10000000e+01
 4.00000000e+00 1.30000000e+01 8.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+01
 1.70000000e+01 1.20000000e+01 6.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+00
 2.40000000e+01]"
"[ 1.          2.          2.          2.          2.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.64995484  0.7078288
  0.80935939  0.18466296  0.20168468  0.16040149  0.0559371   0.62661392
  0.75180491  0.7820741   0.31974786  0.35179824  0.62661392  0.7820741
  0.77571928  0.77835909 15.         21.         16.          4.
 23.         20.         12.         10.         25.         14.
  9.          3.          2.          6.          0.          0.
  0.          7.         17.          0.          0.          0.
  0.          0.         19.        ]";"[ 1.          2.          2.          2.          2.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.64995484  0.7078288
  0.80935939  0.18466296  0.20168468  0.16040149  0.0559371   0.62661392
  0.75180491  0.7820741   0.31974786  0.35179824  0.62661392  0.7820741
  0.77571928  0.77835909 19.         16.          5.          3.
 23.         22.          6.         24.         20.         17.
 10.         15.         25.         21.          0.          0.
  0.         11.         13.          0.          0.          0.
  0.          0.          2.        ]"
"[ 1.          0.          2.          0.          0.          2.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.39424258
  0.34591826  0.59774808  0.35065215  0.83542529  0.6697951   0.
  0.19313018  0.42502326  0.03899329  0.          0.          0.
  0.          0.         15.         20.         25.          8.
 16.         14.          7.         21.         23.         12.
  6.          1.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          5.        ]";"[ 1.          0.          2.          0.          0.          2.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.39424258
  0.34591826  0.59774808  0.35065215  0.83542529  0.6697951   0.
  0.19313018  0.42502326  0.03899329  0.          0.          0.
  0.          0.         19.         22.          3.         21.
  5.         11.         23.          9.         24.          2.
 18.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          8.        ]"
"[ 1.          0.          2.          0.          1.          2.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.39424258
  0.53696718  0.83542529  0.17267985  0.5073149   0.35029132  0.83542529
  0.17267985  0.5073149   0.69438442  0.18466296  0.20168468  0.37709376
  0.16040149  0.22791937  8.         21.         25.         15.
 16.         14.          9.          7.         23.         20.
 12.         10.          4.         24.         18.         22.
 19.          3.          5.         17.          6.          2.
 13.         11.          1.        ]";"[ 1.          0.          2.          0.          1.          2.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.39424258
  0.53696718  0.83542529  0.17267985  0.5073149   0.35029132  0.83542529
  0.17267985  0.5073149   0.69438442  0.18466296  0.20168468  0.37709376
  0.16040149  0.22791937 21.         23.         13.         19.
 16.          5.          8.         22.         11.          9.
  6.          2.          3.         12.         25.         24.
 14.         17.         15.          1.          4.         20.
 10.          7.         18.        ]"
"[ 1.          0.          2.          0.          1.          2.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.75180491
  0.62661392  0.7820741   0.20508247  0.99788505  0.32360911  0.75180491
  0.20168468  0.7820741   0.31974786  0.8291117   0.33943907  0.77571928
  0.77835909  0.18466296  8.         15.         21.         16.
  4.         24.         18.         14.          7.         17.
  9.         20.          5.          6.          0.          0.
  0.          0.         23.         10.         25.         19.
  3.          2.         12.        ]";"[ 1.          0.          2.          0.          1.          2.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.75180491
  0.62661392  0.7820741   0.20508247  0.99788505  0.32360911  0.75180491
  0.20168468  0.7820741   0.31974786  0.8291117   0.33943907  0.77571928
  0.77835909  0.18466296 21.         19.         16.          5.
  3.         12.         25.         22.         11.         13.
  8.          1.          4.          0.          0.          0.
  0.          0.         23.         24.         20.          2.
 15.         17.          9.        ]"
"[ 1.          2.          2.          2.          0.          2.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.64995484  0.7078288
  0.80935939  0.18466296  0.87727587  0.7117259   0.06020428  0.26733625
  0.62661392  0.17267985  0.5073149   0.69438442  0.16040149  0.7078288
  0.18466296  0.8277202  16.          4.         23.         20.
 12.         25.         15.         21.         14.          9.
  0.          5.          0.          0.          0.          0.
  0.          0.          8.          0.          6.         13.
 18.         10.          7.        ]";"[ 1.          2.          2.          2.          0.          2.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.64995484  0.7078288
  0.80935939  0.18466296  0.87727587  0.7117259   0.06020428  0.26733625
  0.62661392  0.17267985  0.5073149   0.69438442  0.16040149  0.7078288
  0.18466296  0.8277202   5.          3.         23.         22.
  6.         13.         19.         16.          8.          1.
  9.          0.          0.          0.          0.          0.
  0.          0.         21.         12.          0.          7.
 24.          4.         14.        ]"
"[ 1.          0.          0.          0.          0.          0.
  0.          2.          1.          1.          1.          1.
  1.          0.          1.          1.          0.59811623  0.62661392
  0.17267985  0.5073149   0.59453504  0.502152    0.9154685   0.59788643
  0.48508639  0.04297379  0.8277202   0.62661392  0.2952391   0.75945456
  0.22791937  0.16040149  8.         21.         19.         12.
 16.         14.          7.         23.          0.          0.
  0.          0.          0.          0.         15.          0.
  0.          0.          0.          6.          1.          0.
  0.          0.         11.        ]";"[ 1.          0.          0.          0.          0.          0.
  0.          2.          1.          1.          1.          1.
  1.          0.          1.          1.          0.59811623  0.62661392
  0.17267985  0.5073149   0.59453504  0.502152    0.9154685   0.59788643
  0.48508639  0.04297379  0.8277202   0.62661392  0.2952391   0.75945456
  0.22791937  0.16040149 21.         23.         15.          2.
  5.         22.         11.          9.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.         24.         18.          0.
  0.          0.         19.        ]"
"[ 1.          0.          2.          0.          1.          2.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.39424258
  0.53696718  0.83542529  0.17267985  0.5073149   0.35029132  0.83542529
  0.17267985  0.5073149   0.69438442  0.18466296  0.20168468  0.77571928
  0.77835909  0.18466296  8.         15.         21.         17.
 25.         14.         16.          7.          9.         20.
  5.         23.         11.          4.          6.          2.
 24.         12.         10.         19.          3.         18.
 22.         13.          1.        ]";"[ 1.          0.          2.          0.          1.          2.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.2428141   0.39424258
  0.53696718  0.83542529  0.17267985  0.5073149   0.35029132  0.83542529
  0.17267985  0.5073149   0.69438442  0.18466296  0.20168468  0.77571928
  0.77835909  0.18466296 21.         19.         16.         20.
 23.         13.          1.          5.         22.         11.
  8.          2.          3.          6.         12.         25.
  9.         24.         15.          4.         17.         14.
 10.         18.          7.        ]"
"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 3.25906144e-01 7.78359090e-01 7.51804914e-01 2.74847549e-03
 7.78359090e-01 1.84662965e-01 2.01684678e-01 0.00000000e+00
 1.93130179e-01 4.25023263e-01 3.89932886e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.50000000e+01 2.10000000e+01 1.60000000e+01 1.40000000e+01
 7.00000000e+00 6.00000000e+00 1.70000000e+01 9.00000000e+00
 2.00000000e+01 5.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.00000000e+00
 2.50000000e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.30000000e+01
 1.80000000e+01]";"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 3.25906144e-01 7.78359090e-01 7.51804914e-01 2.74847549e-03
 7.78359090e-01 1.84662965e-01 2.01684678e-01 0.00000000e+00
 1.93130179e-01 4.25023263e-01 3.89932886e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.90000000e+01 1.60000000e+01 5.00000000e+00 2.20000000e+01
 1.10000000e+01 4.00000000e+00 1.30000000e+01 2.10000000e+01
 8.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+01
 2.30000000e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 7.00000000e+00
 2.40000000e+01]"
"[1.00000000e+00 2.00000000e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 8.09359390e-01 3.51798238e-01 7.51804914e-01 2.67336254e-01
 6.49954836e-01 2.74847549e-03 3.50291317e-01 7.11725903e-01
 2.67336254e-01 6.26613916e-01 1.60401485e-01 3.19747864e-01
 8.29111697e-01 3.39439074e-01 7.75719280e-01 8.27720200e-01
 1.50000000e+01 2.10000000e+01 1.60000000e+01 4.00000000e+00
 2.30000000e+01 2.00000000e+01 8.00000000e+00 1.70000000e+01
 7.00000000e+00 1.90000000e+01 5.00000000e+00 1.10000000e+01
 2.00000000e+00 2.40000000e+01 9.00000000e+00 1.80000000e+01
 1.30000000e+01 0.00000000e+00 1.20000000e+01 1.00000000e+01
 3.00000000e+00 2.50000000e+01 1.40000000e+01 2.20000000e+01
 6.00000000e+00]";"[1.00000000e+00 2.00000000e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 8.09359390e-01 3.51798238e-01 7.51804914e-01 2.67336254e-01
 6.49954836e-01 2.74847549e-03 3.50291317e-01 7.11725903e-01
 2.67336254e-01 6.26613916e-01 1.60401485e-01 3.19747864e-01
 8.29111697e-01 3.39439074e-01 7.75719280e-01 8.27720200e-01
 1.90000000e+01 1.60000000e+01 5.00000000e+00 3.00000000e+00
 2.30000000e+01 2.20000000e+01 2.10000000e+01 2.00000000e+01
 6.00000000e+00 2.00000000e+00 1.40000000e+01 8.00000000e+00
 1.10000000e+01 2.40000000e+01 2.50000000e+01 7.00000000e+00
 9.00000000e+00 1.50000000e+01 1.00000000e+00 4.00000000e+00
 1.30000000e+01 1.70000000e+01 1.00000000e+01 1.20000000e+01
 1.80000000e+01]"
